seed,model,R2,MAE,RMSE
1,XGBoost,0.6372296568502864,0.4018608129634578,0.5510238119068328
1,LightGBM,0.6353646868110971,0.40403547379232135,0.5524383783789457
2,XGBoost,0.6448732344815928,0.39842504400697115,0.5401094104615505
2,LightGBM,0.6380687441185053,0.4037585213057522,0.5452593056017528
3,XGBoost,0.6472324877014591,0.4001101397209525,0.5424349802581991
3,LightGBM,0.6452697637667009,0.4013933543621703,0.5439418839766469
4,XGBoost,0.6487639504331866,0.3995118569996902,0.5421325510818702
4,LightGBM,0.6407130774212453,0.405070736498909,0.5483106069208005
5,XGBoost,0.6371620867169466,0.39997668526061153,0.5475449548896286
5,LightGBM,0.6347165555482434,0.4025672169116294,0.5493870853472044
