held_out_series,metal,n,MAE,R2
3d,Co,3930,0.5867274060172948,-0.1439744353809107
3d,Cr,2102,0.5905368386617444,0.16959149058010614
3d,Cu,3816,0.6172924485068647,0.2769325585337713
3d,Fe,5691,0.5391211021553485,0.43968116449725236
3d,Mn,2281,0.7852721372927977,0.2952741231096194
3d,Ni,10902,0.8135405148412722,-0.7315177114696148
3d,Sc,478,0.4773771125448885,0.4548632294439784
3d,Ti,3253,0.4670087405865658,0.17623636217108318
3d,V,1439,0.6469524674340618,0.10841484099607546
3d,Zn,7482,0.6983928051374574,0.37625185954898854
4d,Ag,1801,0.5385578573800196,0.489776855174589
4d,Cd,1802,0.5150991677471425,0.5149202279803867
4d,Mo,4100,0.4922788425696143,0.40197110359535215
4d,Nb,536,0.42539247318026463,0.2716812621267668
4d,Pd,10696,0.43904695327645177,0.3211467466091008
4d,Rh,4640,0.4575328184815549,0.11741019263098507
4d,Ru,9800,0.532103211719375,0.2214223323823633
4d,Tc,296,0.5922827453498019,0.4194268541808548
4d,Y,893,0.5374445217612476,0.4269796739990461
4d,Zr,2886,0.43386531934039896,0.30408827832774743
5d,Au,4338,0.5343547602286579,0.40194813749057523
5d,Hf,631,0.4534159413727453,0.48989027414153685
5d,Hg,1203,0.6242997234171668,-0.011117093700178549
5d,Ir,5232,0.4127028361074387,0.3561126680435891
5d,La,425,0.7405663108779571,0.1227745648588221
5d,Os,1310,0.6783979260681388,0.13790067057998445
5d,Pt,8275,0.4636620499995211,0.4640522462810591
5d,Re,4172,0.5597867761250648,0.35222642072862276
5d,Ta,797,0.5812086924351191,0.1644175917954005
5d,W,3334,0.4971095503590256,0.27958655241896535
