CSD_code,metal,series,DFT_gap,pred,error,charge,n_atoms,MND
ZEGXIS,Ru,4d,0.6547059530784713,2.768129,2.1134231572578326,0,95,10
DOTPIL,Sc,3d,1.5948593478773567,4.3163114,2.721452011528161,1,109,8
QOCJIC,Zn,3d,0.3366048478628716,2.9819906,2.6453857279275335,0,131,4
XOLFOT,Mo,4d,0.6130725321221097,2.7259398,2.112867218549277,1,75,7
MCBCCR,Cr,3d,1.0865506528023008,3.3648307,2.27828007954328,0,40,6
YIYWIM,Ta,5d,1.3997537084936227,3.4229977,2.023244004595367,0,95,6
DADGAQ,Mo,4d,0.21850743155528365,2.6184826,2.399975158166396,0,52,8
RAGJUG,Cu,3d,0.281093619921056,2.4966524,2.215558744809779,0,58,4
VUTDEW,Cd,4d,0.21224881271870638,3.3360944,3.1238455667063425,0,39,6
VABSUP,Cd,4d,0.8952546074930051,3.2227404,2.3274858042654176,0,41,4
NAVBUI,Pt,5d,1.077298781478665,3.625837,2.548538306152561,0,43,6
DIWQAD,Ag,4d,0.1047638370470538,2.8966455,2.791881708912419,-1,60,3
GEDKOR,Cd,4d,0.8906286718311872,3.2840824,2.3934537408885395,0,59,6
WEXDAI,Re,5d,0.6141609875719491,2.6863806,2.072219637199169,0,74,6
FICMUZ,Ir,5d,0.2446303623514321,3.513037,3.26840660397242,0,75,8
TEBKUG,Pd,4d,0.5586497596301336,2.8971848,2.3385350891552665,0,73,4
YEFJUS,Zn,3d,0.24789572870095067,3.0080636,2.760167826062843,0,107,6
JORFII,Co,3d,4.870021796444472,2.3294222,-2.54059956095558,-1,51,6
BUSYEU,Cd,4d,0.1548327877396717,3.1529307,2.9980979488020765,0,51,6
GOBSUL,Zn,3d,0.1551049016021316,2.3756325,2.2205276228882247,0,173,4
BADBAJ,La,5d,0.4062659966526008,3.759628,3.3533620608272576,0,42,16
RACVUM,W,5d,0.3874901401428691,2.8035588,2.4160686863036642,0,63,5
EZICEW,Zn,3d,0.19673832255849324,2.3820229,2.1852845351075225,0,49,6
QEWKIN,Y,4d,0.4351100660733481,3.0034878,2.5683777593203287,0,145,4
MAXKAY,Ru,4d,0.6650462798519466,3.0184474,2.3534011192874575,1,62,6
PEGQAT,Zn,3d,1.8008495417594859,3.9473965,2.146546975040441,0,70,6
WEFHUM,Ag,4d,1.0857343112149211,3.2470229,2.161288555987838,1,68,3
EDICON,Re,5d,0.6166100123340881,2.8041904,2.187580384928485,0,83,9
BEPWUO,Cd,4d,0.15020685207785375,5.0960793,4.945872497439969,0,59,4
LEBNIR,Zn,3d,0.5083086950750558,5.117495,4.609186364891985,1,36,5
VAWWOJ,Ni,3d,0.24354190690159258,2.9676752,2.7241333021438177,1,92,4
PAGYOL,V,3d,0.2525216643627686,2.5189984,2.2664767201129394,1,51,6
NEYRER,Cd,4d,0.22503816425432074,2.6950252,2.4699870413578617,0,35,6
SOMGOQ,Ru,4d,1.961668834473275,4.281266,2.319597377990104,0,57,6
CUKLID,Co,3d,0.29633199621880935,2.6008086,2.3044766242340717,0,66,6
CTSCHG,Hg,5d,0.2288477583287591,4.3497353,4.120887501681007,0,17,4
FUCGIT,Ru,4d,0.514839427774093,3.2113142,2.6964747735808876,1,47,6
EZILIJ,Mn,3d,4.821041301201694,1.8371304,-2.9839108738411593,1,93,6
ADMTMO,Mo,4d,0.26558312976084286,3.6507554,3.3851722756651825,0,113,5
SISRIV,W,5d,0.514839427774093,2.6869767,2.172137243444779,0,64,6
