CSD_code,y,schnet_pred,in_schnet_training
ZEGXIS,0.65470594,2.1300745,True
DOTPIL,1.5948594,3.0354204,True
QOCJIC,0.33660483,1.9130902,True
XOLFOT,0.6130725,2.1350198,True
MCBCCR,1.0865506,2.3502746,True
YIYWIM,1.3997537,3.1826782,True
DADGAQ,0.21850744,2.1810598,True
RAGJUG,0.28109363,0.8440664,True
VUTDEW,0.21224882,3.5947347,True
VABSUP,0.8952546,2.6679502,False
NAVBUI,1.0772988,3.2938926,False
DIWQAD,0.104763836,3.0096736,True
GEDKOR,0.8906287,1.9196508,False
WEXDAI,0.614161,1.6192297,True
FICMUZ,0.24463037,3.989533,True
TEBKUG,0.5586498,2.6691859,True
YEFJUS,0.24789573,-0.14044404,False
JORFII,4.870022,3.380827,False
BUSYEU,0.15483278,2.8382804,True
BADBAJ,0.406266,3.4304876,True
RACVUM,0.38749015,2.3361962,True
EZICEW,0.19673832,1.0942796,True
QEWKIN,0.43511006,2.4239442,True
MAXKAY,0.6650463,2.988195,False
PEGQAT,1.8008496,3.1614056,True
WEFHUM,1.0857344,2.281744,True
EDICON,0.61661,2.8856332,False
BEPWUO,0.15020685,4.954203,True
LEBNIR,0.5083087,4.2666373,True
VAWWOJ,0.24354191,2.068023,True
PAGYOL,0.25252166,2.0943642,False
NEYRER,0.22503817,2.3611317,False
SOMGOQ,1.9616688,3.7366405,True
CUKLID,0.296332,1.8647023,True
CTSCHG,0.22884776,3.0820022,True
FUCGIT,0.5148394,2.6884842,True
EZILIJ,4.821041,4.2373967,True
ADMTMO,0.26558313,3.2613673,True
SISRIV,0.5148394,2.022951,False
ZADCAI,1.5907776,3.5332112,True
FARNAN,0.3197338,2.7842948,True
FOFCOS,0.22014011,2.9234567,True
SICPAY,0.79185134,2.3372593,True
LEBNOX,0.5382412,3.8343906,True
WOBFEY,1.3175753,2.668166,True
KICMEP,0.6337532,3.5516796,True
KUSFEJ,0.08734855,-0.60717654,True
IYONIW,0.9077718,1.7870196,False
WUZGED,0.6223244,2.0376577,True
HAYWOV,5.7892222,5.471325,True
HAJPEO,0.49116552,2.2429461,True
HAMYUP,6.4012065,5.8011694,True
FAGQAJ,0.56844586,2.763217,True
YUBRUL,0.08326684,1.1245391,True
QEXRET,0.16843848,1.7935195,False
WORFAK,0.18911913,3.5601513,False
KIQQOQ,0.73742855,2.4026172,True
RILRUZ,0.7401497,0.65961146,True
DOKBUB,0.46422625,2.9021842,True
NASPUU,0.4046333,1.7146941,True
KEFPEQ,0.24381402,2.5810385,True
HEDFUS,0.7755245,3.9573767,False
ZEMZOG,0.54069024,0.94371295,True
SAQJIH,0.7227344,1.045735,True
MUHZIY,1.2609756,2.131876,True
EFUGOE,4.21586,3.0370438,False
EDAWIQ,0.11265514,2.2262192,True
MBYPPD,0.11592051,1.0532533,False
COXZOE,0.24245346,-0.060129166,True
BAFQUU,0.6557944,1.8967733,True
YOMVIF,0.6345695,2.5578666,False
JEPXAD,0.23891596,2.5468473,False
PEFZEF,4.5913773,4.314057,True
DEZSIO,5.732351,5.701585,True
CUJHOE,0.31674054,1.7450457,True
EQULUY,0.6272225,1.913166,True
KAYSOU,3.8294585,2.724609,True
FOBQIA,5.2896214,5.183732,True
ZEMHEI,0.36245567,1.661748,True
GIGPIZ,0.14830205,1.5046599,True
CASZOM,0.31510785,1.9257047,False
WURNII,0.44572252,2.9708967,False
KUTPAT,0.22122857,2.2889037,True
RESMUB,0.21877955,2.4352522,True
QEBRIA,0.29605988,2.3516707,True
BEMNUG,0.12843774,0.79451394,True
FUXSUM,0.20245272,0.8726239,True
QIDGUI,0.33197892,2.2992656,True
ERIZOU,1.1597493,3.6019428,False
BAFSUY,0.5415066,1.1008193,True
NECZEA,1.335807,2.1211386,True
CIVQAB,1.4002979,1.8308177,True
EWOZUM,3.494214,4.691893,False
GEKNIT,0.9469562,3.7372122,True
LAHRIX,5.400916,5.3355546,True
QUTPEA,0.24000442,3.488518,True
FIZYEW,1.5883286,2.553403,True
ISUCAD,1.1026053,2.4191217,True
RUSDOY,0.2644947,2.7239583,True
YOMGUC,0.4609609,1.2180101,True
CLPZPD,0.12789352,3.2547789,True
HAVMOK,0.23864385,3.4512887,False
EYOJAD,0.26340622,1.7098123,True
YAZQIA,0.8405597,3.0397263,False
RIBBUD,1.3894134,1.0792468,True
ONEPED,0.41687843,0.9968549,True
QESSAL,0.3477615,2.87669,True
