,0
metal_radius_pm,0.18271281
metal_group,0.13375007
n_C,0.1334081
n_H,0.13130638
rd_FracCSP3,0.10980779
n_P,0.09020968
rd_nAromHetero,0.081811205
rd_MolMR,0.08022338
n_N,0.07376225
metal_Z,0.065345116
n_heavy,0.059581537
MND,0.05775546
rd_TPSA,0.05678722
rd_nHBA,0.05635262
n_O,0.051632885
rd_MolWt,0.041866794
metal_EN,0.041557085
rd_nHBD,0.039599728
n_S,0.039494425
rd_nAromRing,0.039338443
rd_nRotB,0.038834453
rd_nRing,0.035207305
n_atoms,0.03165065
charge,0.02591613
n_F,0.02576182
n_halogen,0.02419279
rd_nHetero,0.021404335
n_Cl,0.01908962
n_B,0.018622108
rd_nAliphRing,0.016935583
n_I,0.015538431
n_Si,0.0131196305
n_donor,0.012785356
n_Br,0.007972931
metal_period,0.005358156
n_Se,0.0046763895
n_As,0.0013002459
metal_series_ord,0.0003718251
n_metal_atoms,0.0
