code,label,mean_abs_shap
metal_radius_pm,Metal radius (pm),0.18271281
metal_group,Metal group,0.13375007
n_C,C count,0.1334081
n_H,H count,0.13130638
rd_FracCSP3,sp³ carbon fraction,0.10980779
n_P,P count,0.09020968
rd_nAromHetero,Aromatic heterocycles,0.081811205
rd_MolMR,Molar refractivity,0.08022338
n_N,N count,0.07376225
metal_Z,Metal atomic number,0.065345116
n_heavy,Heavy-atom count,0.059581537
MND,Coordination number (MND),0.05775546
rd_TPSA,Polar surface area (TPSA),0.05678722
rd_nHBA,H-bond acceptors,0.05635262
n_O,O count,0.051632885
rd_MolWt,Molecular weight,0.041866794
metal_EN,Metal electronegativity,0.041557085
rd_nHBD,H-bond donors,0.039599728
n_S,S count,0.039494425
rd_nAromRing,Aromatic rings,0.039338443
rd_nRotB,Rotatable bonds,0.038834453
rd_nRing,Ring count,0.035207305
n_atoms,Number of atoms,0.03165065
charge,Total charge,0.02591613
n_F,F count,0.02576182
n_halogen,Halogen count,0.02419279
rd_nHetero,Heteroatom count,0.021404335
n_Cl,Cl count,0.01908962
n_B,B count,0.018622108
rd_nAliphRing,Aliphatic rings,0.016935583
n_I,I count,0.015538431
n_Si,Si count,0.0131196305
n_donor,Donor-atom count,0.012785356
n_Br,Br count,0.007972931
metal_period,Metal period,0.005358156
n_Se,Se count,0.0046763895
n_As,As count,0.0013002459
metal_series_ord,Metal series (3d/4d/5d),0.0003718251
n_metal_atoms,Metal-atom count,0.0
