,R2,MAE,RMSE,R2_lo,R2_hi,MAE_lo,MAE_hi,n_test,gap_std,shift_vs_rest,series,Z
Sc,0.400245105018724,0.5279467393998382,0.6768733438521116,0.30997132449547204,0.47131591419382374,0.4899294034657454,0.5660744116994638,478.0,0.8740182695328966,0.40982582926695477,3d,21
Ti,0.3115658287334302,0.42821222180504415,0.5578539432647014,0.2728556958327064,0.34497947195531087,0.41532800290375566,0.44065310122774926,3253.0,0.6723405387748664,0.14183478190129106,3d,22
V,0.177974183820945,0.6507344786702167,0.8476813080427519,0.12914382007676167,0.2225129098473013,0.6252740017265754,0.6776302365000327,1439.0,0.9349532126645551,-0.33660114468660796,3d,23
Cr,0.45818885293196465,0.47851657235228723,0.6272187984810383,0.4188132412385647,0.49415584083044456,0.4611533967291638,0.49589052943205025,2102.0,0.852108893860145,-0.022231036478268962,3d,24
Mn,0.5401106877551628,0.6549476970482291,0.782288703974487,0.5186795520497761,0.5612257509871146,0.6371099164647951,0.6728623802788195,2281.0,1.153560564344109,-0.297301330400642,3d,25
Fe,0.48916894731505944,0.5311618645900621,0.6730274630548259,0.4666306965056801,0.511611637773464,0.5197818037211336,0.5415141117415141,5691.0,0.9416600402037292,-0.29196065992783105,3d,26
Co,0.01155370589992255,0.5931931872619998,0.7368923795789307,-0.0324852516784643,0.0497085786363359,0.5781471947518168,0.6070253077432647,3930.0,0.7411865446708447,-0.3159798186198861,3d,27
Ni,-0.09453905391478501,0.693211679068865,0.8446537709524838,-0.11964652351223669,-0.0718275459782848,0.6841470612581046,0.7016045543154812,10902.0,0.8073523137792382,-0.8182173541231283,3d,28
Cu,0.35718071985316857,0.6078624222393142,0.7919577964230166,0.32830747683600553,0.3808073735883821,0.5922978105273592,0.6238547350082126,3816.0,0.9877740021621552,-0.16145740616474225,3d,29
Zn,-0.29378709086674415,1.0852436487799197,1.2942727131057976,-0.3340213834969856,-0.25498815798769703,1.0702030759178995,1.1010242600684674,7482.0,1.1378745614622372,0.3834983837832078,3d,30
Y,0.4049232205884963,0.5442915174629066,0.7319969014471641,0.33821211495361864,0.46366054709170906,0.5152955825671653,0.5776891205228057,893.0,0.9489050124293518,0.6252694336636226,4d,39
Zr,0.2176838332161336,0.4633016971768285,0.6301779997668068,0.16185363272840944,0.2672720634455484,0.44806899353836455,0.47778291945870843,2886.0,0.7124790271917735,0.3665265208716759,4d,40
